name,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet
756155529794297856,2021-03-30 23:49:08+00:00,4a9aecc7ad6b85e6,1377045257372758021,en,1,0,0,0,Twitter for iPhone,Have you signed up to get your #COVID19 #vaccine for when eligibility opens up April 5th? https://t.co/h2jsJ8fzpU
963546977706364933,2021-03-30 23:44:33+00:00,102251caf154e000,1377044106665418757,en,7,1,2,1,Twitter for iPhone,Second Covid vaccine! #Covid_19 #vaccine https://t.co/gFjt5EDpPY
734439499040722945,2021-03-30 23:38:32+00:00,512a8a4a4c4b4be0,1377042591494070273,en,2,0,0,0,Twitter for iPhone,@JoeBrunoWSOC9 @Hunt_Saenz Congratulations! You’ve helped our community so much. I spent 3 days refreshing websites for my appointment — it is not for the faint of heart. Your hardworking to help others is appreciated. #vaccine
482487028,2021-03-30 23:07:36+00:00,bc3a38d3d5999b4b,1377034807490740233,en,0,0,0,0,Twitter for Android,"@mattgaetz has a lot of explaining to do!!!! 🤢🇺🇸🇺🇸🇺🇸🇺🇸

#America #DerekChauvin #DerekChauvinTrial #Ethiopia #freeAssange #florida #FloppaGang #Flowers #BritainsTigerKings #Covid_19 #vaccine #mattg #gaetz #duncanhunter #freeRLW #FreeSpeech #Catalonia #Fortnite https://t.co/sGuASmpTXQ"
2563883743,2021-03-30 23:03:51+00:00,d6539f049c4d05e8,1377033862371540993,en,2,0,0,1,Twitter for iPhone,"💉✊🏾🗽🌍🇺🇸 #Vaccine 
First come first served 
Ask for Dr. Ala Stanford
https://t.co/sP04IrGhDt"
3039517221,2021-03-30 22:36:37+00:00,77a6c282d3f41d1d,1377027007503085573,en,1,0,1,0,Twitter for iPhone,"Roommate bugging me all day- 

🐰: ""Wanna drive 3 hours to Salisbury? There's openings for the shot...""
🧙‍♀️: ""Is there anything fun to do there? For 6 hours in the car, I wanna do more than get shot &amp; drive back home!""
#Vaccine"
165153530,2021-03-30 22:32:28+00:00,ed8334ef408add50,1377025966388736011,en,14,1,3,5,Twitter for iPhone,Free POT!!!! Just show your #COVID19 #vaccine card and get a free pre-roll @GreenhouseofWL - @FOX2News @WWJ950 https://t.co/BCCwedaHdH
731488912779051009,2021-03-30 22:31:35+00:00,cdf74b55fc0d4600,1377025742500986880,en,0,0,0,0,Twitter for iPhone,"Post-Vaccination Day 4 - My inoculated arm is a bit itchy, but more worrisome is the voices in my head...they are all giving each other the silent treatment; the silence is delightful, but I worry that they are now plotting together to gang-up on me later. #vaccinated #vaccine"
154422039,2021-03-30 22:18:58+00:00,994157bb75b40423,1377022565647052805,en,2,0,0,1,Instagram,"It’s been a longgg year, guys. Let’s make some music 🖤 

#vaccine #singersongwriter #whatayear #insciencewetrust @ Alden, New York https://t.co/TIMbsAMQKN"
415978620,2021-03-30 22:18:45+00:00,4ec01c9dbc693497,1377022513822064640,en,0,0,0,0,Instagram,2nd dose done! 💉 One step closer to hanging out with friends &amp; family without any worries. Peace out Covid ✌🏼 #covidvacccine #vaccine #covidsucks #covid19vacccine @ Orange County Convention Center https://t.co/lC6WDFPTBr
